Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Average Number of Residents Per Day,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid services,Continuing Care Retirement Community,Special Focus Facility,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported CNA Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Expected CNA Staffing Hours per Resident per Day,Expected LPN Staffing Hours per Resident per Day,Expected RN Staffing Hours per Resident per Day,Expected Total Nurse Staffing Hours per Resident per Day,Adjusted CNA Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Health Survey Date Under New Process,Number of Health Deficiencies on Survey Under New Process,Severity of Most Severe Deficiency Cited Under New Process,Largest Number of Residents Affected by Deficiency Cited Under New Process,Date of Previous Standard Health Inspection,Number of Health Deficiencies on Previous Standard Health Inspection,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
415032,CEDAR CREST NURSING CENTRE INC,125 SCITUATE AVENUE,CRANSTON,RI,2920,4019448500,30,Providence,For profit - Corporation,156,155.4,Medicare and Medicaid,FALSE,CEDAR CREST NURSING CENTRE INC,25804,FALSE,FALSE,FALSE,FALSE,Both,Yes,4,,3,,4,,4,,5,,,,2.68323,0.31265,0.90446,1.21712,3.90034,0.11136,2.18911,0.71847,0.33662,3.24419,2.55736,0.32701,1.00772,3.86275,3/8/2018,3,Minimal Harm/Potential for Actual Harm,Few,1/12/2017,0,1/12/2017,0,0,0,0,0,0,0,2/12/2016,2,1,1,12,1,0,12,4.8,0,1,1,3063,0,1,"125 SCITUATE AVENUE CRANSTON, RI 02920 (41.778839, -71.479833)",10/1/2018
415041,WOONSOCKET HEALTH CENTRE,262 POPLAR STREET,WOONSOCKET,RI,2895,4017652100,30,Providence,For profit - Corporation,150,133.6,Medicare and Medicaid,FALSE,"CON-V-CARE, INC",27571,FALSE,FALSE,FALSE,FALSE,Both,Yes,5,,5,,3,,4,,4,,,,2.38653,0.2957,0.6688,0.9645,3.35103,0.01356,1.85959,0.64159,0.29768,2.79886,2.67764,0.34633,0.84263,3.84678,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,7/31/2017,0,7/31/2017,0,0,0,0,0,0,0,8/25/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"262 POPLAR STREET WOONSOCKET, RI 02895 (42.008072, -71.48806)",10/1/2018
415029,GOLDEN CREST NURSING CENTRE,100 SMITHFIELD ROAD,NORTH PROVIDENCE,RI,2904,4013531710,30,Providence,For profit - Corporation,152,126.6,Medicare and Medicaid,FALSE,"PEZZELLI NURSING HOME, INC",25493,FALSE,FALSE,FALSE,FALSE,Both,Yes,3,,2,,4,,4,,4,,,,2.98164,0.43237,0.47807,0.91044,3.89207,0.06146,2.04864,0.62533,0.28047,2.95444,3.03663,0.51958,0.63926,4.23259,1/22/2018,0,None,None,12/29/2016,2,12/29/2016,2,2,0,20,1,0,20,1/19/2016,2,2,0,12,1,0,12,16.8,0,0,0,0,0,0,"100 SMITHFIELD ROAD NORTH PROVIDENCE, RI 02904 (41.856041, -71.44898)",10/1/2018
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,2915,4014384275,30,Providence,For profit - Corporation,57,47.7,Medicare and Medicaid,FALSE,100 WAMPANOAG TRAIL OPERATING COMPANY LLC,24473,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,5,,4,,5,,,,2.31158,0.40827,1.27618,1.68444,3.99602,0.14569,1.98552,0.70572,0.35055,3.04178,2.42906,0.43473,1.36536,4.22085,12/7/2017,0,None,None,11/4/2016,0,11/4/2016,0,0,0,0,0,0,0,11/6/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/1/2018
415002,HATTIE IDE CHAFFEE HOME,200 WAMPANOAG TRAIL,EAST PROVIDENCE,RI,2914,4014341520,30,Providence,For profit - Corporation,60,56.9,Medicare and Medicaid,FALSE,HATTIE IDE CHAFFEE NURSING HOME INC,29587,FALSE,FALSE,FALSE,FALSE,Both,Yes,5,,3,,5,,5,,5,,,,3.15039,0.08259,1.146,1.2286,4.37898,0.12066,2.2236,0.71118,0.3347,3.26947,2.95604,0.08727,1.28414,4.30324,12/6/2017,0,None,None,11/22/2016,2,11/22/2016,2,2,0,12,1,0,12,12/17/2015,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,"200 WAMPANOAG TRAIL EAST PROVIDENCE, RI 02914 (41.796194, -71.355011)",10/1/2018
415031,SILVER CREEK MANOR,7 CREEK LANE,BRISTOL,RI,2809,4012533000,0,Bristol,For profit - Corporation,128,108.2,Medicare and Medicaid,FALSE,KAR LITTLE BOX LLC,25946,FALSE,FALSE,FALSE,FALSE,None,Yes,4,,4,,2,,3,,5,,,,2.29702,0.18582,0.87495,1.06077,3.3578,0.04895,2.08006,0.6573,0.3059,3.04325,2.30405,0.21244,1.07274,3.545,7/6/2018,2,Potential for Minimal Harm,Many,4/21/2017,3,4/21/2017,3,3,0,4,1,0,4,6/17/2016,1,1,0,0,0,0,0,2.4,0,0,0,0,0,0,"7 CREEK LANE BRISTOL, RI 02809 (41.679532, -71.277212)",10/1/2018
415034,GRAND ISLANDER CENTER,333 GREEN END AVENUE,MIDDLETOWN,RI,2842,4018497100,20,Newport,For profit - Corporation,146,119.1,Medicare and Medicaid,FALSE,333 GREEN END AVENUE OPERATIONS LLC,27395,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,4,,5,,4,,5,,,,2.24967,0.38217,1.10147,1.48364,3.73331,0.09829,2.04647,0.73455,0.35849,3.13951,2.29359,0.39097,1.15234,3.8206,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,8/25/2017,1,8/25/2017,1,1,0,4,1,0,4,8/5/2016,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,"333 GREEN END AVENUE MIDDLETOWN, RI 02842 (41.506576, -71.28664)",10/1/2018
415015,APPLE REHAB WATCH HILL,79 WATCH HILL ROAD,WESTERLY,RI,2891,4015962664,50,Washington,For profit - Individual,60,,Medicare and Medicaid,FALSE,"WATCH HILL MANOR, LTD.",25979,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,4,,5,,1,Downgraded to 1 Star,1,Downgraded to 1 Star,Data Not Available,Data Not Available,,,,,,,,,,,,,,,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,10/5/2017,1,10/5/2017,1,1,0,0,1,0,0,10/28/2016,3,3,0,4,1,0,4,1.6,0,0,0,0,0,0,"79 WATCH HILL ROAD WESTERLY, RI 02891 (41.335055, -71.828527)",10/1/2018
415004,ROYAL OF WESTERLY NURSING CENTER,79 BEACH STREET,WESTERLY,RI,2891,4015964925,50,Washington,For profit - Corporation,66,61.8,Medicare and Medicaid,FALSE,ROYAL WESTERLY LLC,24473,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,4,,5,,4,,5,,,,2.53271,0.04465,1.14057,1.18522,3.71793,0.12607,2.06149,0.67315,0.32576,3.0604,2.56334,0.04985,1.31313,3.90322,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,8/10/2017,0,8/10/2017,0,0,0,0,0,0,0,9/1/2016,2,2,0,4,1,0,4,1.6,3,0,0,0,0,0,"79 BEACH STREET WESTERLY, RI 02891 (41.362099, -71.828772)",10/1/2018
415033,HEATHERWOOD REHABILITATION & HEALTH CARE CENTER,398 BELLEVUE AVENUE,NEWPORT,RI,2840,4018496600,20,Newport,For profit - Corporation,114,106.7,Medicare and Medicaid,FALSE,HEATHERWOOD RI LLC,27395,FALSE,FALSE,FALSE,FALSE,Resident,Yes,3,,2,,2,,4,,4,,,,2.02266,0.57476,0.57055,1.14531,3.16797,0.11587,1.82083,0.69386,0.32195,2.83664,2.31769,0.62247,0.66465,3.5882,6/22/2018,7,Minimal Harm/Potential for Actual Harm,Many,4/14/2017,0,4/14/2017,0,0,0,0,0,0,0,6/13/2016,2,2,0,24,1,0,24,9.6,0,0,0,0,0,0,"398 BELLEVUE AVENUE NEWPORT, RI 02840 (41.477036, -71.307969)",10/1/2018
415036,PARK VIEW CTR FOR REHABILITATION AND HEALTH CARE,31 PARADE STREET,PROVIDENCE,RI,2909,4013512600,30,Providence,For profit - Corporation,66,47.9,Medicare and Medicaid,FALSE,PARK VIEW OPERATIONS ASSOCIATES LLC,27515,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,2,,5,,5,,5,,,,3.00099,0.16348,1.31493,1.47841,4.4794,0.13119,1.67409,0.65669,0.31075,2.64154,3.74015,0.18707,1.58697,5.44833,4/23/2018,9,Minimal Harm/Potential for Actual Harm,Many,3/8/2017,5,3/8/2017,5,5,0,12,1,0,12,4/25/2016,2,2,0,16,1,0,16,13.6,0,0,0,0,0,0,"31 PARADE STREET PROVIDENCE, RI 02909 (41.815148, -71.432538)",10/1/2018
415014,GRACE BARKER NURSING CENTER,54 BARKER AVENUE,WARREN,RI,2885,4012459100,0,Bristol,For profit - Corporation,86,83.7,Medicare and Medicaid,FALSE,"GRACE BARKER NURSING CENTER, INC.",24559,FALSE,FALSE,FALSE,FALSE,Resident,Yes,3,,3,,5,,1,Downgraded to 1 Star,1,Downgraded to 1 Star,Data Not Available,Data Not Available,,,,,,,,,,,,,,,3/30/2018,1,Minimal Harm/Potential for Actual Harm,Some,2/24/2017,0,2/24/2017,0,0,0,0,0,0,0,4/7/2016,1,1,0,8,1,0,8,3.2,0,0,0,0,0,0,"54 BARKER AVENUE WARREN, RI 02885 (41.727711, -71.26429)",10/1/2018
415020,GRANDVIEW CENTER,100 CHAMBERS STREET,CUMBERLAND,RI,2864,4017247500,30,Providence,For profit - Corporation,72,67.7,Medicare and Medicaid,FALSE,100 CHAMBERS STREET OPERATIONS LLC,24839,FALSE,FALSE,FALSE,FALSE,Both,Yes,4,,4,,4,,4,,5,,,,2.21303,0.49323,0.88677,1.38,3.59303,0.09184,2.11082,0.72706,0.36499,3.20287,2.18745,0.50978,0.91119,3.6043,2/6/2018,0,None,None,1/10/2017,1,1/10/2017,1,1,0,4,1,0,4,3/10/2016,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,"100 CHAMBERS STREET CUMBERLAND, RI 02864 (41.906946, -71.396704)",10/1/2018
415012,BRIARCLIFFE MANOR,49 OLD POCASSET ROAD,JOHNSTON,RI,2919,4019442450,30,Providence,For profit - Corporation,122,117.4,Medicare and Medicaid,FALSE,MEDICAL HOMES OF RHODE ISLAND INC,24509,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,5,,5,,5,,,,3.31199,0.2835,0.98629,1.26979,4.58178,0.09905,2.27066,0.71462,0.3509,3.33618,3.04326,0.29811,1.05416,4.4125,2/23/2018,2,Minimal Harm/Potential for Actual Harm,Some,1/18/2017,0,1/18/2017,0,0,0,0,0,0,0,2/19/2016,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"49 OLD POCASSET ROAD JOHNSTON, RI 02919 (41.815987, -71.514682)",10/1/2018
415010,SAINT ELIZABETH HOME EAST GREENWICH,1 SAINT ELIZABETH WAY,EAST GREENWICH,RI,2818,4014716060,10,Kent,Non profit - Corporation,144,167.5,Medicare and Medicaid,FALSE,SAINT ELIZABETH HOME EAST GREENWICH,24473,FALSE,FALSE,FALSE,FALSE,Both,Yes,4,,5,,3,,1,Downgraded to 1 Star,1,Downgraded to 1 Star,Data Not Available,Data Not Available,,,,,,,,,,,,,,,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,5/26/2017,0,5/26/2017,0,0,0,0,0,0,0,6/28/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 SAINT ELIZABETH WAY EAST GREENWICH, RI 02818 (41.639386, -71.472683)",10/1/2018
415038,BANNISTER CTR FOR REHABILITATION AND HEALTH CARE,135 DODGE STREET,PROVIDENCE,RI,2907,4015219600,30,Providence,For profit - Corporation,95,89.2,Medicare and Medicaid,FALSE,BANNISTER OPERATIONS ASSOC LLC,27119,FALSE,FALSE,FALSE,FALSE,Resident,Yes,1,,1,,3,,3,,3,,,,2.47847,0.49122,0.57678,1.068,3.54648,0.12865,1.87761,0.71646,0.37091,2.96499,2.75411,0.51521,0.5832,3.84304,2/14/2018,13,Actual Harm,Many,2/2/2017,1,2/2/2017,5,1,4,56,1,0,56,3/11/2016,6,5,5,24,1,0,24,43.2,6,5,1,13627,0,1,"135 DODGE STREET PROVIDENCE, RI 02907 (41.81389, -71.424984)",10/1/2018
415129,SUMMIT COMMONS REHABILITATION AND HEALTH CARE CNT,99 HILLSIDE AVENUE,PROVIDENCE,RI,2906,4015744800,30,Providence,For profit - Corporation,146,122.4,Medicare and Medicaid,FALSE,"SUMMIT RI SNF, LLC",39686,FALSE,FALSE,FALSE,FALSE,Resident,Yes,2,,1,,5,,4,,4,,,,2.34956,0.52672,0.58492,1.11164,3.4612,0.09794,1.9887,0.7316,0.3482,3.0685,2.46501,0.54101,0.63002,3.6241,9/7/2018,0,None,None,7/21/2017,3,7/21/2017,6,3,6,40,1,0,40,8/5/2016,3,2,1,28,1,0,28,35.2,3,3,1,1495,0,1,"99 HILLSIDE AVENUE PROVIDENCE, RI 02906 (41.856817, -71.394912)",10/1/2018
415024,HALLWORTH HOUSE,66 BENEFIT STREET,PROVIDENCE,RI,2904,4012744505,30,Providence,Non profit - Church related,57,42.3,Medicare and Medicaid,FALSE,EPISCOPAL HOUSING FOUNDATION OF RHODE ISLAND,25036,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,3,,4,,5,,5,,,,3.49162,1.22182,1.05513,2.27695,5.76857,0.10193,2.19035,0.71327,0.32321,3.22683,3.32595,1.28723,1.22435,5.74371,4/16/2018,0,None,None,3/8/2017,2,3/8/2017,2,2,0,8,1,0,8,4/22/2016,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,"66 BENEFIT STREET PROVIDENCE, RI 02904 (41.831856, -71.409359)",10/1/2018
415035,HOPKINS MANOR LTD,610 SMITHFIELD ROAD,NORTH PROVIDENCE,RI,2904,4013536300,30,Providence,For profit - Corporation,200,179.5,Medicare and Medicaid,FALSE,"HOPKINS MANOR, LTD",27515,FALSE,FALSE,FALSE,FALSE,Both,Yes,3,,2,,5,,3,,3,,,,2.3943,0.43473,0.45241,0.88714,3.28144,0.04194,2.00981,0.69762,0.32882,3.03626,2.48557,0.46827,0.51601,3.47237,2/1/2018,3,Minimal Harm/Potential for Actual Harm,Some,2/3/2017,2,2/3/2017,2,2,0,16,1,0,16,3/4/2016,0,0,0,0,0,0,0,9.6,2,0,0,0,0,0,"610 SMITHFIELD ROAD NORTH PROVIDENCE, RI 02904 (41.864997, -71.467306)",10/1/2018
415075,HOLIDAY RETIREMENT HOME INC,30 SAYLES HILL ROAD,MANVILLE,RI,2838,4017651440,30,Providence,For profit - Corporation,170,153.8,Medicare and Medicaid,FALSE,"THE HOLIDAY RETIREMENT HOME, INC.",29373,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,4,,3,,4,,4,,,,2.8052,0.34978,0.6038,0.95358,3.75878,0.09174,2.05629,0.64961,0.2902,2.9961,2.84631,0.40462,0.78033,4.0308,5/3/2018,1,Minimal Harm/Potential for Actual Harm,Many,2/17/2017,0,2/17/2017,0,0,0,0,0,0,0,3/24/2016,2,2,0,4,1,0,4,1.6,0,0,0,0,0,0,"30 SAYLES HILL ROAD MANVILLE, RI 02838 (41.966404, -71.481479)",10/1/2018
415009,KENT REGENCY CENTER,660 COMMONWEALTH AVENUE,WARWICK,RI,2886,4017394241,10,Kent,For profit - Corporation,153,141.7,Medicare and Medicaid,FALSE,660 COMMONWEALTH AVENUE OPERATIONS LLC,24475,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,2,,5,,4,,5,,,,2.26998,0.16726,1.22388,1.39114,3.66112,0.08397,2.04003,0.74894,0.35653,3.1455,2.32161,0.16782,1.28745,3.7396,1/17/2018,0,None,None,12/2/2016,3,12/2/2016,3,3,0,16,1,0,16,10/26/2015,4,4,0,12,1,0,12,14.4,0,0,1,1170,0,1,"660 COMMONWEALTH AVENUE WARWICK, RI 02886 (41.701592, -71.479562)",10/1/2018
