Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Role played by Owner or Manager in Facility,Owner Type,Owner Name,Ownership Percentage,Association Date,Location,Processing Date
415072,ELMWOOD NURSING AND REHABILITATION CENTER,225 ELMWOOD AVENUE,PROVIDENCE,RI,02907,DIRECTOR,Individual,"GAGE, JOHN",NOT APPLICABLE,since 01/01/2006,"225 ELMWOOD AVENUE PROVIDENCE, RI 02907 (41.806706, -71.424929)",10/01/2018
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,02915,OPERATIONAL/MANAGERIAL CONTROL,Individual,"COLE, WARREN",NOT APPLICABLE,since 04/22/2013,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/01/2018
415064,PAWTUCKET SKILLED NURSING & REHABILITATION,70 GILL AVENUE,PAWTUCKET,RI,02861,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,1995 DONNA REIS FAMILY TRUST,NO PERCENTAGE PROVIDED,since 02/02/2015,"70 GILL AVENUE PAWTUCKET, RI 02861 (41.862783, -71.352044)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,1995 DONNA REIS FAMILY TRUST,NO PERCENTAGE PROVIDED,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415002,HATTIE IDE CHAFFEE HOME,200 WAMPANOAG TRAIL,EAST PROVIDENCE,RI,02914,MANAGING EMPLOYEE,Individual,"TETRAULT, PANELA",NOT APPLICABLE,since 02/20/2014,"200 WAMPANOAG TRAIL EAST PROVIDENCE, RI 02914 (41.796194, -71.355011)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 02/02/2015,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,02915,OFFICER,Individual,"HOOK, GREGORY",NOT APPLICABLE,since 04/22/2013,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/01/2018
415064,PAWTUCKET SKILLED NURSING & REHABILITATION,70 GILL AVENUE,PAWTUCKET,RI,02861,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SENIOR CARE HOLDINGS, LLC",NO PERCENTAGE PROVIDED,since 02/02/2015,"70 GILL AVENUE PAWTUCKET, RI 02861 (41.862783, -71.352044)",10/01/2018
415044,FRIENDLY HOME INC THE,303 RHODES AVENUE,WOONSOCKET,RI,02895,PARTNERSHIP INTEREST,Individual,"EPP, KATHARINE",NOT APPLICABLE,since 10/15/1995,"303 RHODES AVENUE WOONSOCKET, RI 02895 (42.005585, -71.533652)",10/01/2018
415028,WEST SHORE HEALTH CENTER,109 WEST SHORE ROAD,WARWICK,RI,02889,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"RYAN, DAVID",NO PERCENTAGE PROVIDED,since 11/15/2007,"109 WEST SHORE ROAD WARWICK, RI 02889 (41.733287, -71.402699)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"WHITMAN, ARNOLD",NO PERCENTAGE PROVIDED,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415002,HATTIE IDE CHAFFEE HOME,200 WAMPANOAG TRAIL,EAST PROVIDENCE,RI,02914,OFFICER,Individual,"KELLY, KEITH",NOT APPLICABLE,since 05/23/2012,"200 WAMPANOAG TRAIL EAST PROVIDENCE, RI 02914 (41.796194, -71.355011)",10/01/2018
415067,WEST VIEW NURSING AND REHABILIATION CENTER,239 LEGRIS AVENUE,WEST WARWICK,RI,02893,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,WESTVIEW HOLDCO LLC,100%,since 10/04/2017,"239 LEGRIS AVENUE WEST WARWICK, RI 02893 (41.696469, -71.506389)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,ZAC PROPERTIES XI LLC,NO PERCENTAGE PROVIDED,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SUN HEALTHCARE GROUP, INC.",NO PERCENTAGE PROVIDED,since 04/20/2007,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SUNBRIDGE HEALTHCARE LLC,NO PERCENTAGE PROVIDED,since 04/20/2007,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415071,SOUTH COUNTY NURSING AND REHABILITATION CENTER,740 OAK HILL ROAD,NORTH KINGSTOWN,RI,02852,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HEALTHCARE LLC,NO PERCENTAGE PROVIDED,since 07/06/2015,"740 OAK HILL ROAD NORTH KINGSTOWN, RI 02852 (41.560762, -71.488019)",10/01/2018
415044,FRIENDLY HOME INC THE,303 RHODES AVENUE,WOONSOCKET,RI,02895,OFFICER,Individual,"ROTELLA, ANGELO",NOT APPLICABLE,since 08/01/1983,"303 RHODES AVENUE WOONSOCKET, RI 02895 (42.005585, -71.533652)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,MANAGING EMPLOYEE,Individual,"LOPES, MICHAEL",NOT APPLICABLE,since 04/20/2007,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415068,WARREN SKILLED NURSING AND REHABILITATION,642 METACOM AVENUE,WARREN,RI,02885,MANAGING EMPLOYEE,Individual,"DAVIS, KEITH",NOT APPLICABLE,since 03/02/2015,"642 METACOM AVENUE WARREN, RI 02885 (41.715811, -71.26814)",10/01/2018
415009,KENT REGENCY CENTER,660 COMMONWEALTH AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SUN HEALTHCARE GROUP, INC.",NO PERCENTAGE PROVIDED,since 02/02/2015,"660 COMMONWEALTH AVENUE WARWICK, RI 02886 (41.701592, -71.479562)",10/01/2018
415068,WARREN SKILLED NURSING AND REHABILITATION,642 METACOM AVENUE,WARREN,RI,02885,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"GEN OPERATIONS II, LLC",NO PERCENTAGE PROVIDED,since 01/01/2012,"642 METACOM AVENUE WARREN, RI 02885 (41.715811, -71.26814)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SENIOR CARE HOLDINGS, LLC",NO PERCENTAGE PROVIDED,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,02915,OFFICER,Individual,"RUBIN, JEFFREY",NOT APPLICABLE,since 04/22/2013,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/01/2018
415002,HATTIE IDE CHAFFEE HOME,200 WAMPANOAG TRAIL,EAST PROVIDENCE,RI,02914,MANAGING EMPLOYEE,Individual,"GRIFFIN, DEBORAH",NOT APPLICABLE,since 06/12/2007,"200 WAMPANOAG TRAIL EAST PROVIDENCE, RI 02914 (41.796194, -71.355011)",10/01/2018
415063,SCALABRINI VILLA,860 NORTH QUIDESSET ROAD,NORTH KINGSTOWN,RI,02852,OPERATIONAL/MANAGERIAL CONTROL,Organization,"SCALABRINI VILLA, INC.",NOT APPLICABLE,since 08/18/1989,"860 NORTH QUIDESSET ROAD NORTH KINGSTOWN, RI 02852 (41.639968, -71.42324)",10/01/2018
415010,SAINT ELIZABETH HOME EAST GREENWICH,1 SAINT ELIZABETH WAY,EAST GREENWICH,RI,02818,MANAGING EMPLOYEE,Individual,"FRENCH, JEFFREY",NOT APPLICABLE,since 01/26/2015,"1 SAINT ELIZABETH WAY EAST GREENWICH, RI 02818 (41.639386, -71.472683)",10/01/2018
415036,PARK VIEW CTR FOR REHABILITATION AND HEALTH CARE,31 PARADE STREET,PROVIDENCE,RI,02909,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"HAGLER, JONATHAN",90%,since 05/16/2016,"31 PARADE STREET PROVIDENCE, RI 02909 (41.815148, -71.432538)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"GEN OPERATIONS II, LLC",NO PERCENTAGE PROVIDED,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,FC-GEN OPERATIONS INVESTMENT LLC,NO PERCENTAGE PROVIDED,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,HARBORSIDE HEALTHCARE ADVISORS LP,NO PERCENTAGE PROVIDED,since 04/20/2007,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415002,HATTIE IDE CHAFFEE HOME,200 WAMPANOAG TRAIL,EAST PROVIDENCE,RI,02914,OFFICER,Individual,"RADWAY, TEDFORD",NOT APPLICABLE,since 05/23/2012,"200 WAMPANOAG TRAIL EAST PROVIDENCE, RI 02914 (41.796194, -71.355011)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,HARBORSIDE HEALTHCARE LIMITED PARTNERSHIP,100%,since 04/20/2007,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,02915,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"COLE, WARREN",NO PERCENTAGE PROVIDED,since 04/22/2013,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GHC HOLDINGS II LLC,NO PERCENTAGE PROVIDED,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,HARBORSIDE HEALTHCARE LLC,NO PERCENTAGE PROVIDED,since 04/20/2007,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415071,SOUTH COUNTY NURSING AND REHABILITATION CENTER,740 OAK HILL ROAD,NORTH KINGSTOWN,RI,02852,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"FISHMAN, STEVEN",NO PERCENTAGE PROVIDED,since 07/06/2015,"740 OAK HILL ROAD NORTH KINGSTOWN, RI 02852 (41.560762, -71.488019)",10/01/2018
415071,SOUTH COUNTY NURSING AND REHABILITATION CENTER,740 OAK HILL ROAD,NORTH KINGSTOWN,RI,02852,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,ZAC PROPERTIES XI LLC,NO PERCENTAGE PROVIDED,since 07/06/2015,"740 OAK HILL ROAD NORTH KINGSTOWN, RI 02852 (41.560762, -71.488019)",10/01/2018
415073,JEANNE JUGAN RESIDENCE,964 MAIN STREET,PAWTUCKET,RI,02860,OFFICER,Individual,"ROSS, MARJORIE",NOT APPLICABLE,since 01/01/2014,"964 MAIN STREET PAWTUCKET, RI 02860 (41.865235, -71.399241)",10/01/2018
415068,WARREN SKILLED NURSING AND REHABILITATION,642 METACOM AVENUE,WARREN,RI,02885,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,ZAC PROPERTIES XI LLC,NO PERCENTAGE PROVIDED,since 01/01/2012,"642 METACOM AVENUE WARREN, RI 02885 (41.715811, -71.26814)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,OPERATIONAL/MANAGERIAL CONTROL,Organization,GENESIS HEALTHCARE LLC,NOT APPLICABLE,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"GEN OPERATIONS I, LLC",NO PERCENTAGE PROVIDED,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415004,ROYAL OF WESTERLY NURSING CENTER,79 BEACH STREET,WESTERLY,RI,02891,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"MAMARY, JONATHAN",25%,since 07/01/2016,"79 BEACH STREET WESTERLY, RI 02891 (41.362099, -71.828772)",10/01/2018
415052,CHARLESGATE NURSING CENTER,100 RANDALL STREET,PROVIDENCE,RI,02904,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"RICHARD, FRANCES",NO PERCENTAGE PROVIDED,since 09/09/1977,"100 RANDALL STREET PROVIDENCE, RI 02904 (41.838228, -71.409659)",10/01/2018
415071,SOUTH COUNTY NURSING AND REHABILITATION CENTER,740 OAK HILL ROAD,NORTH KINGSTOWN,RI,02852,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"WHITMAN, ARNOLD",NO PERCENTAGE PROVIDED,since 07/06/2015,"740 OAK HILL ROAD NORTH KINGSTOWN, RI 02852 (41.560762, -71.488019)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HEALTHCARE LLC,NO PERCENTAGE PROVIDED,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415012,BRIARCLIFFE MANOR,49 OLD POCASSET ROAD,JOHNSTON,RI,02919,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"TALWAR, AKSHAY",100%,since 01/01/1994,"49 OLD POCASSET ROAD JOHNSTON, RI 02919 (41.815987, -71.514682)",10/01/2018
415053,CHERRY HILL MANOR,2 CHERRY HILL ROAD,JOHNSTON,RI,02919,OFFICER,Individual,"THURMOND, JOAN",NOT APPLICABLE,since 09/21/2000,"2 CHERRY HILL ROAD JOHNSTON, RI 02919 (41.836815, -71.482069)",10/01/2018
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,02915,OPERATIONAL/MANAGERIAL CONTROL,Individual,"RUBIN, JEFFREY",NOT APPLICABLE,since 04/22/2013,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,KHI LLC,NO PERCENTAGE PROVIDED,since 04/20/2007,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415049,HEBERT NURSING HOME,180 LOG ROAD,SMITHFIELD,RI,02917,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"FLANAGAN, JAMES",NO PERCENTAGE PROVIDED,since 07/09/2010,"180 LOG ROAD SMITHFIELD, RI 02917 (41.910336, -71.551313)",10/01/2018
415027,OAK HILL HEALTH & REHABILITATION CENTER,544 PLEASANT STREET,PAWTUCKET,RI,02860,MANAGING EMPLOYEE,Individual,"GOLDMAN, NATHAN",NOT APPLICABLE,since 07/01/2017,"544 PLEASANT STREET PAWTUCKET, RI 02860 (41.863973, -71.383313)",10/01/2018
415004,ROYAL OF WESTERLY NURSING CENTER,79 BEACH STREET,WESTERLY,RI,02891,OPERATIONAL/MANAGERIAL CONTROL,Individual,"MAMARY, JAMES",NOT APPLICABLE,since 07/01/2016,"79 BEACH STREET WESTERLY, RI 02891 (41.362099, -71.828772)",10/01/2018
415002,HATTIE IDE CHAFFEE HOME,200 WAMPANOAG TRAIL,EAST PROVIDENCE,RI,02914,OFFICER,Individual,"GULDHAUGE, AMY",NOT APPLICABLE,since 05/23/2012,"200 WAMPANOAG TRAIL EAST PROVIDENCE, RI 02914 (41.796194, -71.355011)",10/01/2018
415064,PAWTUCKET SKILLED NURSING & REHABILITATION,70 GILL AVENUE,PAWTUCKET,RI,02861,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GHC HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 12/01/2012,"70 GILL AVENUE PAWTUCKET, RI 02861 (41.862783, -71.352044)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HEALTHCARE INC,NO PERCENTAGE PROVIDED,since 02/02/2015,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,02915,OFFICER,Individual,"QUILLARD, PHILIP",NOT APPLICABLE,since 02/01/2014,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/01/2018
415050,SAINT ELIZABETH MANOR EAST BAY,1 DAWN HILL,BRISTOL,RI,02809,DIRECTOR,Individual,"CRELLIN, RICHARD",NOT APPLICABLE,since 06/04/2007,"1 DAWN HILL BRISTOL, RI 02809 (41.689081, -71.264478)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SENIOR CARE GENESIS LLC,NO PERCENTAGE PROVIDED,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415004,ROYAL OF WESTERLY NURSING CENTER,79 BEACH STREET,WESTERLY,RI,02891,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"MAMARY, JAMES",50%,since 07/01/2016,"79 BEACH STREET WESTERLY, RI 02891 (41.362099, -71.828772)",10/01/2018
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,02915,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,POST ACUTE PARTNERS,NO PERCENTAGE PROVIDED,since 04/22/2013,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,OFFICER,Individual,"EDWARDS, JAN",NOT APPLICABLE,since 03/02/2015,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,02915,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"RUBIN, JEFFREY",NO PERCENTAGE PROVIDED,since 04/22/2013,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/01/2018
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,02915,OFFICER,Individual,"HEYERT, ROBERT",NOT APPLICABLE,since 04/22/2013,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"FISHMAN, STEVEN",NO PERCENTAGE PROVIDED,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,MANAGING EMPLOYEE,Individual,"DAVIS, KEITH",NOT APPLICABLE,since 03/02/2015,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415054,SOUTH KINGSTOWN NURSING AND REHAB CTR,"2115 SOUTH COUNTY TRAIL, PO BOX 307",WEST KINGSTON,RI,02892,DIRECTOR,Individual,"CARRAGHER, TERRY",NOT APPLICABLE,since 01/27/2000,"2115 SOUTH COUNTY TRAIL WEST KINGSTON, RI 02892 (41.50255, -71.561723)",10/01/2018
415002,HATTIE IDE CHAFFEE HOME,200 WAMPANOAG TRAIL,EAST PROVIDENCE,RI,02914,OFFICER,Individual,"MATERNE, DAVID",NOT APPLICABLE,since 05/28/2012,"200 WAMPANOAG TRAIL EAST PROVIDENCE, RI 02914 (41.796194, -71.355011)",10/01/2018
415071,SOUTH COUNTY NURSING AND REHABILITATION CENTER,740 OAK HILL ROAD,NORTH KINGSTOWN,RI,02852,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SENIOR CARE GENESIS LLC,NO PERCENTAGE PROVIDED,since 07/06/2015,"740 OAK HILL ROAD NORTH KINGSTOWN, RI 02852 (41.560762, -71.488019)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,HARBORSIDE HEALTH I LLC,NO PERCENTAGE PROVIDED,since 04/20/2007,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415020,GRANDVIEW CENTER,100 CHAMBERS STREET,CUMBERLAND,RI,02864,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,GHC HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 04/01/2011,"100 CHAMBERS STREET CUMBERLAND, RI 02864 (41.906946, -71.396704)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,ONEX PARTNERS LP,NO PERCENTAGE PROVIDED,since 02/02/2015,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415071,SOUTH COUNTY NURSING AND REHABILITATION CENTER,740 OAK HILL ROAD,NORTH KINGSTOWN,RI,02852,5% OR GREATER SECURITY INTEREST,Organization,GENERAL ELECTRIC CAPITAL CORPORATION,NOT APPLICABLE,since 12/01/2015,"740 OAK HILL ROAD NORTH KINGSTOWN, RI 02852 (41.560762, -71.488019)",10/01/2018
415061,BRENTWOOD NURSING HOME,4000 POST ROAD,WARWICK,RI,02886,OFFICER,Individual,"MIGA, RICHARD",NOT APPLICABLE,since 02/01/2003,"4000 POST ROAD WARWICK, RI 02886 (41.682399, -71.450804)",10/01/2018
415071,SOUTH COUNTY NURSING AND REHABILITATION CENTER,740 OAK HILL ROAD,NORTH KINGSTOWN,RI,02852,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"GEN OPERATIONS II, LLC",NO PERCENTAGE PROVIDED,since 07/06/2015,"740 OAK HILL ROAD NORTH KINGSTOWN, RI 02852 (41.560762, -71.488019)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,OPERATIONAL/MANAGERIAL CONTROL,Individual,"BERG, MICHAEL",NOT APPLICABLE,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,OFFICER,Individual,"BERG, MICHAEL",NOT APPLICABLE,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
