hospital_pk,collection_week,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,is_metro_micro,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,inpatient_beds_used_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,inpatient_beds_used_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18_19_7_day_sum,previous_day_admission_adult_covid_confirmed_20_29_7_day_sum,previous_day_admission_adult_covid_confirmed_30_39_7_day_sum,previous_day_admission_adult_covid_confirmed_40_49_7_day_sum,previous_day_admission_adult_covid_confirmed_50,previous_day_admission_adult_covid_confirmed_60,previous_day_admission_adult_covid_confirmed_70,previous_day_admission_adult_covid_confirmed_80,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ed_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18,previous_day_admission_adult_covid_suspected_20,previous_day_admission_adult_covid_suspected_30,previous_day_admission_adult_covid_suspected_40,previous_day_admission_adult_covid_suspected_50,previous_day_admission_adult_covid_suspected_60,previous_day_admission_adult_covid_suspected_70_79_7_day_sum,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ed_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,geocoded_hospital_address,hhs_ids,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_coverage,previous_week_personnel_covid_vaccinated_doses_administered_7_day,total_personnel_covid_vaccinated_doses_none_7_day,total_personnel_covid_vaccinated_doses_one_7_day,total_personnel_covid_vaccinated_doses_all_7_day,previous_week_patients_covid_vaccinated_doses_one_7_day,previous_week_patients_covid_vaccinated_doses_all_7_day,is_corrected
410006,2022-01-14,RI,410006,NEWPORT HOSPITAL,11 FRIENDSHIP STREET,NEWPORT,2840,Short Term,44005,True,,,94.4,86.6,86.6,21.0,21.0,17.3,0.0,0.0,94.4,6.0,6.0,5.6,5.6,6.0,6.0,,,,,,661,606.0,606,147,147,121,0,0,661,42,42,39,39,7.0,7.0,,,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,15,0.0,0.0,0.0,0.0,4.0,7.0,6.0,9.0,0.0,0.0,122,14.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,484,,POINT (-71.306193 41.497809),[C410006-A],7,7,7,7,,,,,,,False
410006,2022-01-21,RI,410006,NEWPORT HOSPITAL,11 FRIENDSHIP STREET,NEWPORT,2840,Short Term,44005,True,,,94.6,84.4,84.4,16.3,16.3,14.6,0.0,0.0,94.6,6.0,6.0,5.1,5.1,6.0,6.0,,,,,,662,591.0,591,114,114,102,0,0,662,42,42,36,36,13.0,13.0,,,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,13,0.0,0.0,0.0,0.0,4.0,7.0,6.0,5.0,0.0,0.0,118,10.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,458,,POINT (-71.306193 41.497809),[C410006-A],7,7,7,7,,,,,,,False
410012,2022-01-14,RI,410012,THE MIRIAM HOSPITAL,164 SUMMIT AVENUE,PROVIDENCE,2906,Short Term,44007,True,,,275.0,241.3,241.3,69.7,69.7,63.7,0.0,0.0,275.0,16.0,16.0,13.1,13.1,4.9,4.3,,,,,,1925,1689.0,1689,488,488,446,0,0,1925,112,112,92,92,34.0,30.0,,,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,61,0.0,4.0,0.0,7.0,5.0,14.0,17.0,14.0,0.0,0.0,345,30.0,0.0,0.0,0.0,0.0,6.0,8.0,7.0,4.0,0.0,0.0,1016,,POINT (-71.397541 41.851687),[C410012-A],7,7,7,7,,,,,,,False
410010,2022-01-14,RI,410010,WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,101 DUDLEY STREET,PROVIDENCE,2905,Short Term,44007,True,,,81.3,138.3,70.3,16.4,9.9,9.9,6.6,0.0,149.9,62.9,0.0,60.9,0.0,4.9,4.3,0.0,0.0,,,,569,968.0,492,115,69,69,46,0,1049,440,0,426,0,5.0,5.0,0.0,0.0,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,39,4.0,20.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,444,0.0,POINT (-71.411753 41.810179),[C410010-A],7,7,7,7,,,,,,,False
410011,2022-01-21,RI,410011,LANDMARK MEDICAL CENTER,115 CASS AVENUE,WOONSOCKET,2895,Short Term,44007,True,107.1,107.1,81.1,77.7,77.7,23.4,23.4,23.4,0.0,0.0,81.1,10.0,10.0,10.0,10.0,4.9,4.3,0.0,0.0,0.0,750.0,750.0,568,544.0,544,164,164,164,0,0,568,70,70,70,70,22.0,22.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,26,0.0,0.0,12.0,7.0,0.0,7.0,10.0,4.0,0.0,0.0,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440,0.0,POINT (-71.495277 42.005438),[C410011-A],7,7,7,7,,34.0,6.0,1005.0,,0.0,False
410013,2022-01-21,RI,410013,WESTERLY HOSPITAL,25 WELLS STREET,WESTERLY,2891,Short Term,44009,True,0.0,0.0,88.0,59.3,59.3,15.6,15.6,15.3,0.0,0.0,88.0,9.0,9.0,7.4,7.4,4.9,4.3,0.0,0.0,0.0,0.0,0.0,616,415.0,415,109,109,107,0,0,616,63,63,52,52,14.0,14.0,0.0,0.0,0.0,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,12,0.0,0.0,0.0,0.0,0.0,7.0,10.0,6.0,0.0,0.0,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316,0.0,POINT (-71.826103 41.362757),[C410013-A],7,7,7,7,,,,,,,False
410011,2022-01-14,RI,410011,LANDMARK MEDICAL CENTER,115 CASS AVENUE,WOONSOCKET,2895,Short Term,44007,True,107.6,107.6,81.6,80.4,80.4,28.7,28.7,28.7,0.0,0.0,81.6,9.7,9.7,9.7,9.7,4.1,4.1,0.0,0.0,0.0,753.0,753.0,571,563.0,563,201,201,201,0,0,571,68,68,68,68,29.0,29.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,35,0.0,0.0,4.0,0.0,7.0,6.0,9.0,7.0,0.0,0.0,309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498,0.0,POINT (-71.495277 42.005438),[C410011-A],7,7,7,7,8.0,33.0,6.0,1003.0,,0.0,False
410007,2022-01-14,RI,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,2903,Short Term,44007,True,,,468.0,500.6,446.3,140.6,125.9,111.3,14.7,10.4,536.9,82.1,67.0,69.9,58.9,12.6,11.1,,,,,,3276,3504.0,3124,984,881,779,103,73,3758,575,469,489,412,88.0,78.0,,,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,86,0.0,0.0,9.0,7.0,13.0,16.0,21.0,17.0,0.0,13.0,677,60.0,0.0,0.0,7.0,7.0,9.0,10.0,11.0,13.0,0.0,13.0,1953,,POINT (-71.407066 41.811792),"[C410007-A, C410007-B]",7,7,7,7,,,,,,,False
410005,2022-01-21,RI,410005,OUR LADY OF FATIMA HOSPITAL,200 HIGH SERVICE AVENUE,NORTH PROVIDENCE,2904,Short Term,44007,True,,,129.0,123.4,123.4,41.7,41.7,41.7,0.0,0.0,129.0,6.0,6.0,5.9,5.9,4.9,4.9,0.0,0.0,,,,903,864.0,864,292,292,292,0,0,903,42,42,41,41,34.0,34.0,0.0,0.0,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,0,17,0.0,0.0,9.0,7.0,13.0,6.0,0.0,5.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356,0.0,POINT (-71.458498 41.855796),[C410005-A],7,7,7,7,,,,,,,False
410013,2022-01-14,RI,410013,WESTERLY HOSPITAL,25 WELLS STREET,WESTERLY,2891,Short Term,44009,True,19.0,19.0,88.0,59.9,59.9,15.9,15.9,15.6,0.0,0.0,88.0,9.0,9.0,6.0,6.0,4.9,4.9,0.0,0.0,0.0,95.0,95.0,616,419.0,419,111,111,109,0,0,616,63,63,42,42,16.0,15.0,0.0,0.0,0.0,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,16,0.0,0.0,9.0,7.0,7.0,6.0,0.0,5.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316,0.0,POINT (-71.826103 41.362757),[C410013-A],7,7,7,7,,,,,,,False
410007,2022-01-21,RI,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,2903,Short Term,44007,True,,,469.7,507.7,451.1,108.3,97.6,83.1,10.7,7.9,535.7,83.1,67.1,72.0,58.9,10.4,9.4,,,,,,3288,3554.0,3158,758,683,582,75,55,3750,582,470,504,412,73.0,66.0,,,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,71,0.0,4.0,6.0,9.0,9.0,23.0,7.0,12.0,0.0,0.0,580,52.0,0.0,0.0,5.0,6.0,5.0,10.0,13.0,9.0,0.0,0.0,2013,,POINT (-71.407066 41.811792),"[C410007-A, C410007-B]",7,6,7,6,,,,,,,False
410004,2022-01-14,RI,410004,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,PROVIDENCE,2908,Short Term,44007,True,,,119.6,94.4,94.4,39.6,39.6,39.6,0.0,0.0,119.6,8.0,8.0,7.6,7.6,5.4,5.4,0.0,0.0,,,,837,661.0,661,277,277,277,0,0,837,56,56,53,53,38.0,38.0,0.0,0.0,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,0,28,0.0,4.0,0.0,0.0,5.0,4.0,7.0,10.0,0.0,0.0,101,13.0,0.0,0.0,5.0,0.0,5.0,10.0,13.0,6.0,0.0,0.0,434,0.0,POINT (-71.434909 41.833925),[C410004-A],7,7,7,7,,,,,,,False
410004,2022-01-07,RI,410004,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,PROVIDENCE,2908,Short Term,44007,True,132.7,132.7,103.4,87.9,87.9,34.6,34.6,34.6,0.0,0.0,103.4,8.0,8.0,7.1,7.1,6.7,6.7,0.0,0.0,,796.0,796.0,724,615.0,615,242,242,242,0,0,724,56,56,50,50,47.0,47.0,0.0,0.0,,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,0,29,0.0,4.0,0.0,0.0,4.0,4.0,5.0,11.0,0.0,0.0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529,0.0,POINT (-71.434909 41.833925),[C410004-A],7,7,7,7,,,,,,,False
410011,2022-01-07,RI,410011,LANDMARK MEDICAL CENTER,115 CASS AVENUE,WOONSOCKET,2895,Short Term,44007,True,108.0,108.0,82.0,77.6,77.6,22.6,22.6,22.6,0.0,0.0,82.0,10.3,10.3,10.3,10.3,5.0,5.0,0.0,0.0,0.0,756.0,756.0,574,543.0,543,158,158,158,0,0,574,72,72,72,72,35.0,35.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,30,0.0,4.0,4.0,0.0,5.0,6.0,5.0,8.0,0.0,0.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575,0.0,POINT (-71.495277 42.005438),[C410011-A],7,7,7,7,20.0,31.0,6.0,1009.0,,0.0,False
410005,2021-12-31,RI,410005,OUR LADY OF FATIMA HOSPITAL,200 HIGH SERVICE AVENUE,NORTH PROVIDENCE,2904,Short Term,44007,True,142.7,142.7,123.4,121.3,121.3,29.3,29.3,29.3,0.0,0.0,123.4,6.0,6.0,6.9,6.9,5.7,5.7,,,,999.0,999.0,864,849.0,849,205,205,205,0,0,864,42,42,48,48,40.0,40.0,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,23,0.0,4.0,4.0,0.0,7.0,5.0,5.0,8.0,0.0,0.0,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524,,POINT (-71.458498 41.855796),[C410005-A],7,7,7,7,,,,,,,False
